event_id,event_date,event_title,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
5354,08/18/2013 12:00:00 AM,"Chanchati, Guria","Chanchati, Guria",10km,landslide,tropical_cyclone,medium,unknown,0,,Utor,,glc,5354,Georgia,GE,Guria,20636,Ozurget’i,13.89297,42.1061,42.0252
242,09/07/2007 12:00:00 AM,"Darjeeling Hills, multiple villages in area (Kurseong, Kalimpong, Bhalukopa, Kukhleinkhani)","Darjeeling Hills, multiple villages in area (Kurseong, Kalimpong, Bhalukopa, Kukhleinkhani)",25km,landslide,rain,medium,unknown,,,,,glc,242,India,IN,Bengal,46427,Kārsiyāng,0.6035,88.2833,26.8833
5737,12/30/2013 12:00:00 AM,"Miri, Sarawak","Miri, Sarawak",unknown,landslide,downpour,medium,unknown,,,,,glc,5737,Malaysia,MY,Sarawak,228212,Miri,38.06464,113.8359,4.1176
1415,01/20/2010 12:20:00 AM,"Spg 582-30, Kg Masin, Mukim Pengkalan Batu in the Brunei-Muara District","Spg 582-30, Kg Masin, Mukim Pengkalan Batu in the Brunei-Muara District",25km,landslide,downpour,medium,unknown,0,,,,glc,1415,Brunei,BN,Brunei and Muara,64409,Bandar Seri Begawan,17.37842,114.8333,4.8333
9559,10/07/2016 08:30:00 AM,Helper,Helper,1km,rock_fall,unknown,medium,natural_slope,0,0,,,glc,9559,United States,US,Utah,2201,Helper,1.64525,-110.8572,39.6988
4245,03/06/2012 07:35:00 PM,"Likeng Village, Qingxin County, Guangdong province","Likeng Village, Qingxin County, Guangdong province",25km,landslide,downpour,medium,unknown,7,,,,glc,4245,China,CN,Guangdong,0,Taihe,2.85637,113.0005,23.7505
5240,07/31/2013 08:00:00 AM,"Dehradun, Uttarakhand","Dehradun, Uttarakhand",10km,landslide,downpour,medium,unknown,4,,,,glc,5240,India,IN,Uttarakhand,27702,Rāipur,7.8256,78.0949,30.3822
8925,11/08/2015 12:00:00 AM,"Gold Bluffs Beach in Orick, CA","Gold Bluffs Beach in Orick, CA",exact,landslide,rain,medium,above_road,0,0,,,glc,8925,United States,US,California,1205,Westhaven-Moonstone,37.79076,-124.0682,41.3842
5560,09/29/2013 12:00:00 AM,"Middle Fork Road, Boise National Forest, Boise, Id","Middle Fork Road, Boise National Forest, Boise, Id",25km,landslide,continuous_rain,large,unknown,0,,,,glc,5560,United States,US,Idaho,485,Idaho City,39.35619,-115.3455,43.8187
4226,02/22/2012 01:30:00 AM,"near Everett, Washington","near Everett, Washington",10km,landslide,downpour,medium,unknown,0,,,,glc,4226,United States,US,Washington,103019,Everett,2.40858,-122.2221,47.962
3438,04/28/2011 12:00:00 AM,"eastbound lanes, mile marker 16(?), Western Kentucky pkwy., Caldwell county, KY","eastbound lanes, mile marker 16(?), Western Kentucky pkwy., Caldwell county, KY",5km,landslide,downpour,medium,unknown,0,,,,glc,3438,United States,US,Kentucky,2764,Dawson Springs,8.74503,-87.7898,37.1552
9547,12/24/2012 12:00:00 AM,River Barle at Worth Wood near Withypool,River Barle at Worth Wood near Withypool,5km,riverbank_collapse,flooding,small,above_river,0,0,,,,,,,,,,,-3.7175,51.1182
3856,07/28/2011 12:00:00 AM,Bohol,Bohol,unknown,landslide,downpour,medium,unknown,2,,,,glc,3856,Philippines,PH,Central Visayas,2116,Valle Hermoso,1.37345,124.2467,9.8011
